PIENAPT00000013550	ENSP00000345957.3	71.1	83	24	0	1	83	1	83	1.0e-28	124.8
PIENAPT00000013550	ENSP00000388332.2	71.6	81	23	0	1	81	1	81	1.5e-27	120.9
PIENAPT00000013550	ENSP00000359624.1	72.6	62	17	0	1	62	1	62	6.8e-20	95.5
PIENAPT00000013550	ENSP00000359593.1	73.3	45	12	0	1	45	1	45	6.2e-13	72.4
PIENAPT00000007722	ENSP00000317302.7	31.7	303	124	7	3	281	2	245	1.7e-25	115.9
PIENAPT00000007722	ENSP00000344566.4	32.3	303	123	7	3	281	2	246	1.1e-24	113.2
PIENAPT00000007722	ENSP00000381047.3	36.4	220	104	7	3	191	2	216	2.3e-22	105.5
PIENAPT00000018323	ENSP00000376570.3	31.7	605	251	12	64	621	58	547	5.4e-76	285.4
PIENAPT00000018323	ENSP00000387239.1	33.6	533	202	10	64	550	58	484	5.1e-74	278.9
PIENAPT00000018323	ENSP00000436604.2	31.5	685	286	17	6	624	10	577	4.8e-72	272.3
PIENAPT00000018323	ENSP00000447852.1	32.7	620	243	15	63	624	71	574	2.4e-71	270.0
PIENAPT00000018323	ENSP00000269195.4	30.2	579	242	12	90	621	85	548	6.9e-71	268.5
PIENAPT00000018323	ENSP00000355632.4	30.1	601	249	12	70	621	85	563	3.8e-69	262.7
PIENAPT00000018323	ENSP00000444171.1	29.8	574	242	11	81	600	134	600	3.1e-63	243.0
PIENAPT00000018323	ENSP00000348668.2	29.8	574	242	11	81	600	134	600	3.1e-63	243.0
PIENAPT00000018323	ENSP00000376465.3	31.3	530	212	10	64	542	125	553	7.6e-62	238.4
PIENAPT00000018323	ENSP00000297107.6	29.6	601	266	15	75	626	100	592	4.9e-61	235.7
PIENAPT00000018323	ENSP00000288988.6	29.3	600	252	15	78	623	68	549	8.4e-61	235.0
PIENAPT00000018323	ENSP00000385435.1	29.3	600	252	15	78	623	48	529	8.4e-61	235.0
PIENAPT00000018323	ENSP00000336729.4	29.8	628	266	18	50	623	48	554	4.2e-60	232.6
PIENAPT00000018323	ENSP00000402970.3	29.8	628	266	18	50	623	48	554	4.2e-60	232.6
PIENAPT00000018323	ENSP00000451420.1	31.8	490	178	8	50	491	48	429	7.4e-57	221.9
PIENAPT00000018323	ENSP00000451200.1	31.8	490	178	8	50	491	48	429	7.4e-57	221.9
PIENAPT00000018323	ENSP00000500791.1	30.1	509	201	10	63	524	94	494	1.6e-56	220.7
PIENAPT00000018323	ENSP00000329846.8	30.1	509	201	10	63	524	94	494	1.6e-56	220.7
PIENAPT00000018323	ENSP00000423313.1	28.0	599	265	14	81	625	100	586	2.8e-56	219.9
PIENAPT00000018323	ENSP00000423827.1	28.0	599	265	14	81	625	83	569	2.8e-56	219.9
PIENAPT00000018323	ENSP00000344260.5	29.1	592	253	14	93	632	163	639	3.7e-56	219.5
PIENAPT00000018323	ENSP00000465341.1	35.3	363	131	4	90	451	85	344	6.2e-56	218.8
PIENAPT00000018323	ENSP00000259056.4	32.0	456	159	8	81	489	456	807	6.9e-55	215.3
PIENAPT00000018323	ENSP00000314500.5	28.9	567	231	15	111	623	106	554	9.0e-55	214.9
PIENAPT00000018323	ENSP00000364150.3	37.1	367	167	9	308	621	219	574	4.5e-54	212.6
PIENAPT00000018331	ENSP00000376570.3	34.0	162	73	2	64	225	58	185	7.3e-15	80.5
PIENAPT00000018331	ENSP00000387239.1	34.0	162	73	2	64	225	58	185	7.3e-15	80.5
PIENAPT00000018331	ENSP00000227756.4	31.5	149	68	2	75	221	108	224	3.4e-12	71.6
PIENAPT00000018331	ENSP00000265000.4	31.5	165	78	3	64	228	150	279	4.4e-12	71.2
PIENAPT00000018331	ENSP00000427050.1	31.5	165	78	3	64	228	150	279	4.4e-12	71.2
PIENAPT00000018331	ENSP00000415210.2	33.6	134	56	2	75	208	100	200	1.7e-11	69.3
PIENAPT00000018331	ENSP00000297107.6	33.6	134	56	2	75	208	100	200	1.7e-11	69.3
PIENAPT00000018331	ENSP00000336729.4	32.8	183	79	6	50	228	48	190	1.7e-11	69.3
PIENAPT00000018331	ENSP00000402970.3	32.8	183	79	6	50	228	48	190	1.7e-11	69.3
PIENAPT00000018331	ENSP00000451420.1	32.8	183	79	6	50	228	48	190	1.7e-11	69.3
PIENAPT00000018331	ENSP00000451200.1	32.8	183	79	6	50	228	48	190	1.7e-11	69.3
PIENAPT00000018331	ENSP00000444171.1	32.4	148	62	4	81	225	134	246	2.9e-11	68.6
PIENAPT00000018331	ENSP00000348668.2	32.4	148	62	4	81	225	134	246	2.9e-11	68.6
PIENAPT00000018331	ENSP00000474670.1	32.4	148	62	4	81	225	134	246	2.9e-11	68.6
PIENAPT00000018331	ENSP00000465341.1	31.3	131	57	2	90	219	85	183	1.1e-10	66.6
PIENAPT00000018331	ENSP00000269195.4	31.3	131	57	2	90	219	85	183	1.1e-10	66.6
PIENAPT00000018331	ENSP00000428573.1	44.4	72	39	1	75	146	100	170	2.4e-10	65.5
PIENAPT00000018331	ENSP00000366889.2	44.4	72	39	1	75	146	100	170	2.4e-10	65.5
PIENAPT00000018331	ENSP00000376465.3	30.9	165	76	4	64	225	125	254	3.2e-10	65.1
PIENAPT00000018331	ENSP00000412643.1	30.9	165	76	4	64	225	125	254	3.2e-10	65.1
PIENAPT00000018331	ENSP00000423313.1	30.5	128	57	1	81	208	100	195	7.0e-10	63.9
PIENAPT00000018331	ENSP00000423827.1	30.5	128	57	1	81	208	83	178	7.0e-10	63.9
PIENAPT00000018331	ENSP00000344260.5	33.6	116	45	1	93	208	163	246	1.6e-09	62.8
